schoolname,ncesid,ncesdistid_geo,distname,level,ppe,enroll,sesavgall,lninc50avgall,baplusavgall,unempavgall,snapavgall,locale,frpl
Adrian Elementary School,410102000755,4101020,Adrian SD 61,Middle,14074.1956375502,200.73999999998,0.1266571,10.600165,0.19185211,0.058408074,0.12996839,Rural,0.63
Adrian High School,410102000756,4101020,Adrian SD 61,High,21201.5170817401,88.524097142789,0.1266571,10.600165,0.19185211,0.058408074,0.12996839,Rural,0.49
Alsea Charter School,410120000019,4101200,Alsea SD 7J,High,13716.824167834,281.82210274774,0.28618354,10.879308,0.19830714,0.052387871,0.15077406,Rural,0.63
Amity Elementary School,410123001260,4101230,Amity SD 4J,Elementary,11182.77159343,329.507352179365,0.18005413,10.981353,0.23519599,0.071234718,0.14639367,Rural,0.44
Amity High School,410123001263,4101230,Amity SD 4J,High,15693.2484171428,246.234187069774,0.18005413,10.981353,0.23519599,0.071234718,0.14639367,Rural,0.37
Amity Middle School,410123001320,4101230,Amity SD 4J,Middle,11864.8824710943,205.885841037969,0.18005413,10.981353,0.23519599,0.071234718,0.14639367,Rural,0.44
Eola Hills Charter School,410123001653,4101230,Amity SD 4J,High,2011.40512766752,38.2689047082942,0.18005413,10.981353,0.23519599,0.071234718,0.14639367,Rural,0.0046168083
Annex Charter School,410135000753,4101350,Annex SD 29,Middle,20618.9046364485,89.762195121934,-0.052659117,10.620107,0.14507861,0.056734633,0.13809359,Rural,0.961632856074721
Arlington Community Charter School,410147000343,4101470,Arlington SD 3,High,23406.2938436161,163.805555555543,0.013468537,10.892838,0.20638546,0.067732036,0.15074123,Rural,0.955872271889821
Ashland High School,410156000401,4101560,Ashland SD 5,High,16686.3221432509,970.703448463888,0.28741035,10.744951,0.54757458,0.067578338,0.12403281,Suburb,0.29
Ashland Middle School,410156000400,4101560,Ashland SD 5,Middle,15477.9051561438,567.730587352095,0.28741035,10.744951,0.54757458,0.067578338,0.12403281,Suburb,0.34
Bellview Elementary School,410156000395,4101560,Ashland SD 5,Elementary,14234.9207140117,311.776942355846,0.28741035,10.744951,0.54757458,0.067578338,0.12403281,Suburb,0.34
Helman Elementary School,410156000397,4101560,Ashland SD 5,Elementary,14063.9737598328,342.75056975766,0.28741035,10.744951,0.54757458,0.067578338,0.12403281,Suburb,0.28
John Muir Outdoor School,410156001654,4101560,Ashland SD 5,Middle,14559.8989491801,125.871345029233,0.28741035,10.744951,0.54757458,0.067578338,0.12403281,Suburb,0.0035569349
Walker Elementary School,410156000399,4101560,Ashland SD 5,Elementary,14303.9529143325,339.777777777742,0.28741035,10.744951,0.54757458,0.067578338,0.12403281,Suburb,0.37
Astor Elementary School,410162000152,4101620,Astoria SD 1,Elementary,11371.7312848865,435.86206896547,0.13980907,10.69426,0.26575801,0.062207907,0.13909566,Town,0.5
Astoria Middle School,410162000153,4101620,Astoria SD 1,Middle,11535.4116751115,460.516705155896,0.13980907,10.69426,0.26575801,0.062207907,0.13909566,Town,0.51
Astoria Senior High School,410162000155,4101620,Astoria SD 1,High,13711.2351441357,556.32226617542,0.13980907,10.69426,0.26575801,0.062207907,0.13909566,Town,0.36
Lewis & Clark Elementary School,410162000156,4101620,Astoria SD 1,Elementary,10826.58826479,413.72988505744,0.13980907,10.69426,0.26575801,0.062207907,0.13909566,Town,0.49
Athena Elementary School,410166001112,4101660,Athena-Weston SD 29RJ,Elementary,13780.6076179215,151.076470588223,0.45236045,10.929073,0.21559618,0.062621839,0.10736543,Rural,0.7
Weston Middle School,410166001114,4101660,Athena-Weston SD 29RJ,Middle,10998.0359855181,254.186071025123,0.45236045,10.929073,0.21559618,0.062621839,0.10736543,Rural,0.57
Weston-McEwen High School,410166001115,4101660,Athena-Weston SD 29RJ,High,16018.1309843589,179.215152203126,0.45236045,10.929073,0.21559618,0.062621839,0.10736543,Rural,0.47
Baker Early College,410171001783,4101710,Baker SD 5J,High,3865.58647214599,318.529689603704,-0.34395424,10.657318,0.21747439,0.093296513,0.174602,Town,0.22
Baker High School,410171000009,4101710,Baker SD 5J,High,17324.5449490958,415.308119835048,-0.34395424,10.657318,0.21747439,0.093296513,0.174602,Town,0.38
